i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20080000003747,901035394,NGUYEN THI 35384,8,VND,22/10/2019,"637,033","5,299,475",22/10/2019
?,20080000004612,90255201,NGUYEN VAN 55201,8,VND,22/10/2019,"344,821","4,390,258",22/10/2019
?,20080000005072,90257204,NGUYEN VAN 57204,8,VND,22/10/2019,"206,876","2,665,955",22/10/2019
?,20080000005536,90257677,NGUYEN VAN 57677,8,VND,22/10/2019,"310,917","3,772,905",22/10/2019
?,20080000006708,90260852,NGUYEN VAN 60852,8,VND,31/10/2019,"183,750","2,296,872",31/10/2019
?,20080000006773,90257754,NGUYEN VAN 57754,8,VND,22/10/2019,"248,721","3,259,332",22/10/2019
?,20080000007151,90261251,NGUYEN VAN 61251,8,VND,22/10/2019,"231,460","2,973,244",22/10/2019
?,20080000007292,90355640,NGUYEN VAN 155640,8,VND,31/10/2019,"276,634","3,457,919",31/10/2019
?,20080000007649,901035780,NGUYEN THI 35770,8,VND,22/10/2019,"371,352","4,721,904",22/10/2019
?,20080000008787,90265514,NGUYEN VAN 65514,8,VND,22/10/2019,"337,353","4,073,266",22/10/2019
?,20080000009124,90267299,NGUYEN VAN 67299,8,VND,22/10/2019,"171,002","2,217,519",22/10/2019
